category,date,driver_number,flag,lap_number,meeting_key,message,scope,sector,session_key
Other,2023-05-28 13:29:52+00:00,,,21,1210,CAR 24 (ZHO) TIME 1:22.387 DELETED - TRACK LIMITS AT TURN 1 LAP 19 15:27:31,,,9094
Flag,2023-05-28 13:39:08+00:00,24,BLUE,28,1210,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:39:07,Driver,,9094
Flag,2023-05-28 13:39:27+00:00,24,BLUE,29,1210,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:39:27,Driver,,9094
Flag,2023-05-28 13:41:11+00:00,27,BLUE,30,1210,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:41:10,Driver,,9094
Flag,2023-05-28 13:42:18+00:00,11,BLUE,31,1210,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:42:18,Driver,,9094
Flag,2023-05-28 13:43:02+00:00,18,BLUE,31,1210,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:43:02,Driver,,9094
Flag,2023-05-28 13:44:26+00:00,20,BLUE,32,1210,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:44:25,Driver,,9094
Other,2023-05-28 13:45:44+00:00,,,33,1210,TURN 10 INCIDENT INVOLVING CARS 11 (PER) AND 18 (STR) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,9094
Flag,2023-05-28 13:45:54+00:00,23,BLUE,34,1210,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:45:54,Driver,,9094
Flag,2023-05-28 13:46:12+00:00,24,BLUE,34,1210,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:46:12,Driver,,9094
Other,2023-05-28 13:46:14+00:00,,,34,1210,CAR 11 (PER) TIME 1:19.292 DELETED - TRACK LIMITS AT TURN 10 LAP 31 15:44:01,,,9094
Flag,2023-05-28 13:46:58+00:00,77,BLUE,34,1210,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:46:57,Driver,,9094
Flag,2023-05-28 13:47:05+00:00,27,BLUE,34,1210,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:47:05,Driver,,9094
Flag,2023-05-28 13:47:19+00:00,11,BLUE,35,1210,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:47:18,Driver,,9094
Flag,2023-05-28 13:47:32+00:00,11,BLUE,35,1210,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:47:31,Driver,,9094
Flag,2023-05-28 13:47:32+00:00,77,BLUE,35,1210,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:47:32,Driver,,9094
Flag,2023-05-28 13:48:21+00:00,21,BLUE,35,1210,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 15:48:20,Driver,,9094
Other,2023-05-28 13:48:37+00:00,,,36,1210,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 11 (PER) AND 18 (STR) REVIEWED NO FURTHER INVESTIGATION - PLACE WAS GIVEN BACK,,,9094
Flag,2023-05-28 13:49:02+00:00,18,BLUE,36,1210,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:49:02,Driver,,9094
Flag,2023-05-28 13:49:58+00:00,20,BLUE,37,1210,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:49:58,Driver,,9094
Other,2023-05-28 13:51:19+00:00,,,38,1210,CAR 20 (MAG) TIME 1:20.942 DELETED - TRACK LIMITS AT TURN 10 LAP 36 15:50:38,,,9094
Flag,2023-05-28 13:52:43+00:00,77,BLUE,39,1210,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:52:42,Driver,,9094
Other,2023-05-28 13:53:31+00:00,,,39,1210,TURN 19 INCIDENT INVOLVING CARS 20 (MAG) AND 18 (STR) NOTED - CAUSING A COLLISION,,,9094
Flag,2023-05-28 13:53:32+00:00,2,BLUE,39,1210,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:53:32,Driver,,9094
Flag,2023-05-28 13:53:48+00:00,21,BLUE,40,1210,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 15:53:48,Driver,,9094
Flag,2023-05-28 13:55:00+00:00,18,BLACK AND WHITE,41,1210,BLACK AND WHITE FLAG FOR CAR 18 (STR) - CAUSING A COLLISION,Driver,,9094
Flag,2023-05-28 13:55:03+00:00,2,BLUE,41,1210,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:55:03,Driver,,9094
