date,driver_number,lap_number,meeting_key,pit_duration,session_key
2023-06-02 15:21:50.171000+00:00,77,9,1211,484.7,9096
2023-06-02 15:22:07.311000+00:00,1,9,1211,463.6,9096
2023-06-02 15:22:23.483000+00:00,10,8,1211,621.6,9096
2023-06-02 15:22:28.889000+00:00,31,8,1211,636.2,9096
2023-06-02 15:22:54.576000+00:00,27,8,1211,616.3,9096
2023-06-02 15:23:10.842000+00:00,4,8,1211,597.9,9096
2023-06-02 15:23:13.623000+00:00,24,9,1211,589.6,9096
2023-06-02 15:24:54.122000+00:00,23,11,1211,16.6,9096
2023-06-02 15:25:09.934000+00:00,2,11,1211,16.6,9096
2023-06-02 15:25:25.668000+00:00,44,11,1211,512.4,9096
2023-06-02 15:25:31.496000+00:00,20,7,1211,874.7,9096
2023-06-02 15:26:26.340000+00:00,63,11,1211,538.8,9096
2023-06-02 15:26:39.527000+00:00,22,14,1211,129.4,9096
2023-06-02 15:27:06.042000+00:00,77,12,1211,19.3,9096
2023-06-02 15:27:08.433000+00:00,21,14,1211,187.0,9096
2023-06-02 15:28:06.870000+00:00,31,11,1211,16.6,9096
2023-06-02 15:28:10.870000+00:00,10,11,1211,16.9,9096
2023-06-02 15:28:22.744000+00:00,14,14,1211,520.9,9096
2023-06-02 15:28:39.713000+00:00,24,12,1211,18.1,9096
2023-06-02 15:30:47.399000+00:00,81,12,1211,741.0,9096
2023-06-02 15:30:54.477000+00:00,18,14,1211,568.3,9096
2023-06-02 15:30:57.274000+00:00,11,12,1211,691.4,9096
2023-06-02 15:31:08.086000+00:00,44,14,1211,30.8,9096
2023-06-02 15:31:12.899000+00:00,55,10,1211,450.8,9096
2023-06-02 15:31:47.476000+00:00,16,10,1211,467.4,9096
2023-06-02 15:32:18.617000+00:00,1,12,1211,343.6,9096
2023-06-02 15:33:46.756000+00:00,27,11,1211,351.6,9096
2023-06-02 15:35:31.583000+00:00,23,14,1211,357.2,9096
2023-06-02 15:36:01.364000+00:00,2,14,1211,367.3,9096
2023-06-02 15:38:11.222000+00:00,63,14,1211,442.9,9096
2023-06-02 15:38:16.394000+00:00,77,15,1211,368.3,9096
2023-06-02 15:39:29.268000+00:00,4,14,1211,372.5,9096
2023-06-02 15:39:56.705000+00:00,31,14,1211,409.5,9096
2023-06-02 15:41:09.329000+00:00,10,14,1211,487.7,9096
2023-06-02 15:41:14.126000+00:00,81,15,1211,358.1,9096
2023-06-02 15:41:22.001000+00:00,11,15,1211,358.9,9096
2023-06-02 15:41:49.141000+00:00,24,15,1211,504.5,9096
2023-06-02 15:42:12.563000+00:00,22,20,1211,327.1,9096
2023-06-02 15:42:22.516000+00:00,44,17,1211,410.5,9096
2023-06-02 15:43:11.516000+00:00,21,20,1211,433.8,9096
2023-06-02 15:43:14.078000+00:00,23,19,1211,31.9,9096
2023-06-02 15:43:25.640000+00:00,16,18,1211,22.1,9096
2023-06-02 15:45:34.139000+00:00,4,18,1211,22.1,9096
2023-06-02 15:45:37.483000+00:00,14,19,1211,546.7,9096
2023-06-02 15:47:09.232000+00:00,18,20,1211,390.9,9096
2023-06-02 15:47:23.669000+00:00,20,13,1211,679.7,9096
2023-06-02 15:47:50.091000+00:00,1,23,1211,22.3,9096
2023-06-02 15:48:19.637000+00:00,77,22,1211,22.7,9096
2023-06-02 15:48:54.340000+00:00,2,23,1211,23.2,9096
2023-06-02 15:49:26.183000+00:00,55,23,1211,22.1,9096
2023-06-02 15:50:45.354000+00:00,24,21,1211,24.2,9096
2023-06-02 15:50:48.682000+00:00,14,22,1211,51.2,9096
2023-06-02 15:52:35.181000+00:00,44,24,1211,22.6,9096
